num_trabajador,nombre_horario,descripcion_horario,lunes_entrada_1,lunes_salida_1,lunes_entrada_2,lunes_salida_2,martes_entrada_1,martes_salida_1,martes_entrada_2,martes_salida_2,miercoles_entrada_1,miercoles_salida_1,miercoles_entrada_2,miercoles_salida_2,jueves_entrada_1,jueves_salida_1,jueves_entrada_2,jueves_salida_2,viernes_entrada_1,viernes_salida_1,viernes_entrada_2,viernes_salida_2,sabado_entrada_1,sabado_salida_1,sabado_entrada_2,sabado_salida_2,domingo_entrada_1,domingo_salida_1,domingo_entrada_2,domingo_salida_2,fecha_inicio_asignacion,fecha_fin_asignacion,semestre
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
172,L 11-19 | MXJV 12-19,"Lunes 11:00-19:00, Martes a Viernes 12:00-19:00",11:00,19:00,,,12:00,19:00,,,12:00,19:00,,,12:00,19:00,,,12:00,19:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
186,XJ 08-10,Miércoles a Jueves 08:00-10:00,,,,,,,,,8:00,10:00,,,8:00,10:00,,,,,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
193,LMXJ 07-10,Lunes a Jueves 07:00-10:00,7:00,10:00,,,7:00,10:00,,,7:00,10:00,,,7:00,10:00,,,,,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
222,LM 14-21 | XJV 14-20,"Lunes a Martes 14:00-21:00, Miércoles a Viernes 14:00-20:00",14:00,21:00,,,14:00,21:00,,,14:00,20:00,,,14:00,20:00,,,14:00,20:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
235,LMXJV 07-13,Lunes a Viernes 07:00-13:00,7:00,13:00,,,7:00,13:00,,,7:00,13:00,,,7:00,13:00,,,7:00,13:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
250,LMXJV 10-14,Lunes a Viernes 10:00-14:00,10:00,14:00,,,10:00,14:00,,,10:00,14:00,,,10:00,14:00,,,10:00,14:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
261,LMX 10-15 | J 11-15,"Lunes a Miércoles 10:00-15:00, Jueves 11:00-15:00",10:00,15:00,,,10:00,15:00,,,10:00,15:00,,,11:00,15:00,,,,,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
277,LMXJV 08-16,Lunes a Viernes 08:00-16:00,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
311,L 09-15 | MXJV 09-14,"Lunes 09:00-15:00, Martes a Viernes 09:00-14:00",9:00,15:00,,,9:00,14:00,,,9:00,14:00,,,9:00,14:00,,,9:00,14:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
314,L 08-16 | MJV 07-15 | X 08-15,"Lunes 08:00-16:00, Martes, Jueves y Viernes 07:00-15:00, Miércoles 08:00-15:00",8:00,16:00,,,7:00,15:00,,,8:00,15:00,,,7:00,15:00,,,7:00,15:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
350,LMXJV 09-17,Lunes a Viernes 09:00-17:00,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
352,LMXJV 07-15,Lunes a Viernes 07:00-15:00,7:00,15:00,,,7:00,15:00,,,7:00,15:00,,,7:00,15:00,,,7:00,15:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
364,LXJV 09-13 | M 10-14,"Lunes, Miércoles, Jueves y Viernes 09:00-13:00, Martes 10:00-14:00",09:000,13:00,,,10:00,14:00,,,9:00,13:00,,,9:00,13:00,,,9:00,13:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
371,LMXJV 08-16,Lunes a Viernes 08:00-16:00,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
376,LMXJ 07-11,Lunes a Jueves 07:00-11:00,7:00,11:00,,,7:00,11:00,,,7:00,11:00,,,7:00,11:00,,,,,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
236,LMXJV 08-16,Lunes a Viernes 08:00-16:00,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
379,LMJV 10-14 | X 09-13,"Lunes, Martes, Jueves y Viernes 10:00-14:00, Miércoles 09:00-13:00",10:00,14:00,,,10:00,14:00,,,9:00,13:00,,,10:00,14:00,,,10:00,14:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
412,LXJ 07-10 | M 07-09 | V 08-12,"Lunes, Miércoles y Jueves 07:00-10:00, Martes 07:00-09:00, Viernes 08:00-12:00",7:00,10:00,,,7:00,9:00,,,7:00,10:00,,,7:00,10:00,,,8:00,12:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
394,LMXJ 17-20 | V 18-20,"Lunes a Jueves 17:00-20:00, Viernes 18:00-20:00",17:00,20:00,,,17:00,20:00,,,17:00,20:00,,,17:00,20:00,,,18:00,20:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
