num_trabajador,nombre_horario,descripcion_horario,lunes_entrada_1,lunes_salida_1,lunes_entrada_2,lunes_salida_2,martes_entrada_1,martes_salida_1,martes_entrada_2,martes_salida_2,miercoles_entrada_1,miercoles_salida_1,miercoles_entrada_2,miercoles_salida_2,jueves_entrada_1,jueves_salida_1,jueves_entrada_2,jueves_salida_2,viernes_entrada_1,viernes_salida_1,viernes_entrada_2,viernes_salida_2,sabado_entrada_1,sabado_salida_1,sabado_entrada_2,sabado_salida_2,domingo_entrada_1,domingo_salida_1,domingo_entrada_2,domingo_salida_2,fecha_inicio_asignacion,fecha_fin_asignacion,semestre
215,LMXJV 09-17,Lunes a Viernes 09:00-17:00,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
221,L 12-17 | M 11-17 | X 13-17 | J 14-18,"Lunes 12:00-17:00, Martes 11:00-17:00, Miércoles 13:00-17:00, Jueves 14:00-18:00",12:00,17:00,,,11:00,17:00,,,13:00,17:00,,,14:00,18:00,,,,,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
224,LM 16-19 | X 12-18 | J 12-17 | V 12-14,"Lunes a Martes 16:00-19:00, Miércoles 12:00-18:00, Jueves 12:00-17:00, Viernes 12:00-14:00",16:00,19:00,,,16:00,19:00,,,12:00,18:00,,,12:00,17:00,,,12:00,14:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
239,LMXJV 08-16,Lunes a Viernes 08:00-16:00,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
241,L 08-16 | MXJ 09-16 | V 08-15,"Lunes 08:00-16:00, Martes a Jueves 09:00-16:00, Viernes 08:00-15:00",8:00,16:00,,,9:00,16:00,,,9:00,16:00,,,9:00,16:00,,,8:00,15:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
254,LMX 10-18 | JV 09-17,"Lunes a Miércoles 10:00-18:00, Jueves a Viernes 09:00-17:00",10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,9:00,17:00,,,9:00,17:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
262,LMX 08-16 | J 10-18 | V 09-17,"Lunes a Miércoles 08:00-16:00, Jueves 10:00-18:00, Viernes 09:00-17:00",8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,10:00,18:00,,,9:00,17:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
268,LMXJV 07-15,Lunes a Viernes 07:00-15:00,7:00,15:00,,,7:00,15:00,,,7:00,15:00,,,7:00,15:00,,,7:00,15:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
273,LMXJ 08-16 | V 09-17,"Lunes a Jueves 08:00-16:00, Viernes 09:00-17:00",8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,9:00,17:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
274,LMXJV 09-13 y 17-19,Lunes a Viernes 09:00-13:00 y 17:00-19:00,9:00,13:00,17:00,19:00,9:00,13:00,17:00,19:00,9:00,13:00,17:00,19:00,9:00,13:00,17:00,19:00,9:00,13:00,17:00,19:00,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
280,LMXJ 09-17 | V 16-16,"Lunes a Jueves 09:00-17:00, Viernes 16:00-16:00",9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,16:00,16:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
309,LMV 13-20 | XJ 13-19,"Lunes, Martes y Viernes 13:00-20:00, Miércoles a Jueves 13:00-19:00",13:00,20:00,,,13:00,20:00,,,13:00,19:00,,,13:00,19:00,,,13:00,20:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
310,LMXJV 09-13,Lunes a Viernes 09:00-13:00,9:00,13:00,,,9:00,13:00,,,9:00,13:00,,,9:00,13:00,,,9:00,13:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
329,LXJ 09-16 | M 08-15 | V 09-17,"Lunes, Miércoles y Jueves 09:00-16:00, Martes 08:00-15:00, Viernes 09:00-17:00",9:00,16:00,,,8:00,15:00,,,9:00,16:00,,,9:00,16:00,,,9:00,17:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
341,L 08-16 | M 08-10,"Lunes 08:00-16:00, Martes 08:00-10:00",8:00,16:00,,,8:00,10:00,,,,,,,,,,,,,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
